#group,false,false,false,false,false,false,false,false
#datatype,string,long,double,string,double,string,long,dateTime:RFC3339
#default,_result,,,,,,,
,result,table,Humidity,SSID,Temperature,device,rssi,time
,,0,31,HCILAB,24.7,ESP32,-66,2023-06-06T14:24:18.853337623Z
,,0,31,HCILAB,24.3,ESP32,-67,2023-06-06T14:24:25.927716921Z
,,0,31,HCILAB,24.3,ESP32,-61,2023-06-06T14:24:33.06001439Z
,,0,32,HCILAB,24.2,ESP32,-66,2023-06-06T14:24:40.34570876Z
,,0,33,HCILAB,24.1,ESP32,-66,2023-06-06T14:24:47.526755217Z
,,0,36,HCILAB,24.1,ESP32,-66,2023-06-06T14:24:54.651986232Z
,,0,36,HCILAB,24.1,ESP32,-62,2023-06-06T14:25:01.832975411Z
,,0,36,HCILAB,24.1,ESP32,-62,2023-06-06T14:25:09.037944238Z
,,0,35,HCILAB,24.1,ESP32,-59,2023-06-06T14:25:16.164104363Z
,,0,34,HCILAB,24.1,ESP32,-62,2023-06-06T14:25:23.3660937Z
,,0,34,HCILAB,24.1,ESP32,-64,2023-06-06T14:25:30.407071569Z
,,0,33,HCILAB,24.1,ESP32,-72,2023-06-06T14:25:37.599968612Z
,,0,33,HCILAB,24.1,ESP32,-62,2023-06-06T14:26:33.416350274Z
,,0,32,HCILAB,24.4,ESP32,-64,2023-06-06T14:26:40.449926076Z
,,0,32,HCILAB,24.4,ESP32,-67,2023-06-06T14:26:47.758645884Z
,,0,32,HCILAB,24.3,ESP32,-65,2023-06-06T14:26:54.876466618Z
,,0,41,HCILAB,24.9,ESP32,-63,2023-06-06T14:28:45.308006367Z
,,0,36,HCILAB,25.1,ESP32,-67,2023-06-06T14:28:52.440360114Z
,,0,35,HCILAB,25.1,ESP32,-65,2023-06-06T14:28:59.590594127Z
,,0,35,HCILAB,25.1,ESP32,-60,2023-06-06T14:29:06.811818789Z
,,0,33,HCILAB,25.1,ESP32,-66,2023-06-06T14:30:04.688620178Z
,,0,32,HCILAB,25.2,ESP32,-65,2023-06-06T14:30:11.886696239Z
,,0,33,HCILAB,25.2,ESP32,-68,2023-06-06T14:30:18.996466517Z
,,0,33,HCILAB,25.2,ESP32,-64,2023-06-06T14:30:26.172312052Z
,,0,33,HCILAB,25.1,ESP32,-63,2023-06-06T14:30:33.344335211Z
,,0,32,HCILAB,25.1,ESP32,-63,2023-06-06T14:30:40.91742183Z
,,0,32,HCILAB,25.1,ESP32,-64,2023-06-06T14:31:41.53840506Z
,,0,31,HCILAB,25.3,ESP32,-67,2023-06-06T14:31:48.706854281Z
,,0,31,HCILAB,25.3,ESP32,-67,2023-06-06T14:31:55.843786601Z
,,0,32,HCILAB,25.3,ESP32,-68,2023-06-06T14:32:03.053688448Z
,,0,42,HCILAB,25.3,ESP32,-66,2023-06-06T14:32:10.183135752Z
,,0,39,HCILAB,25.3,ESP32,-67,2023-06-06T14:32:17.275105755Z
,,0,37,HCILAB,25.2,ESP32,-62,2023-06-06T14:32:24.443885177Z
,,0,35,HCILAB,25.2,ESP32,-67,2023-06-06T14:32:31.613428785Z
,,0,34,HCILAB,25.2,ESP32,-67,2023-06-06T14:32:38.784608203Z
,,0,33,HCILAB,25.2,ESP32,-68,2023-06-06T14:32:45.98628883Z
,,0,32,HCILAB,25.2,ESP32,-70,2023-06-06T14:32:53.109785134Z
,,0,32,HCILAB,25.1,ESP32,-72,2023-06-06T14:33:00.800437399Z

